feature,kind,family,used_station_count,used_stations,missing_pct_min_all_rows,missing_pct_max_all_rows,missing_pct_weighted_mean_all_rows,missing_pct_min_modeling_rows,missing_pct_max_modeling_rows,missing_pct_weighted_mean_modeling_rows,expected_nan_policy,schema_note
actual_high_lag_1d,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_lag_2d,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_lag_3d,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.153,0.153,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_14d_max,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_14d_mean,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_14d_min,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_14d_std,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_30d_max,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_30d_mean,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_30d_min,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_30d_std,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_3d_max,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_3d_mean,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_3d_min,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_3d_std,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_7d_max,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_7d_mean,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_7d_min,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_roll_7d_std,numeric,prior actual history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
actual_high_trend_1d,numeric,other numeric,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,may_be_null; numeric median imputer handles,
actual_high_trend_3d,numeric,other numeric,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.204,0.204,0.204,0.204,0.207,0.205,may_be_null; numeric median imputer handles,
climatology_high_10y_count,numeric,v9/v11 climatology,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,should_be_present_after_normals_join; investigate if high missingness,
climatology_high_10y_f,numeric,v9/v11 climatology,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,should_be_present_after_normals_join; investigate if high missingness,
climatology_high_10y_std_f,numeric,v9/v11 climatology,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,should_be_present_after_normals_join; investigate if high missingness,
day_of_week,categorical,calendar/categorical,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,"may_be_null; categorical imputer fills ""missing""",
day_of_year,numeric,calendar,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
day_of_year_cos,numeric,calendar,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
day_of_year_sin,numeric,calendar,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_abs_error_lag_1d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.305,0.198,0.051,0.205,0.131,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_error_lag_1d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.305,0.198,0.051,0.205,0.131,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_forecast_hour_max,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_forecast_hour_min,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_forecast_lead_hours,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_high_f,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,required_live_non_null; fail closed if missing,
gfs_high_minus_observed_high_temp_f,numeric,provider-observation delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_high_minus_observed_temp_f,numeric,provider-observation delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_high_plus_prior_month_bias_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.477,1.369,1.08,1.239,1.207,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_high_plus_rolling_bias_14d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.407,0.3,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
