city,station_id,contract_date,event_slug,market_slug,bucket_label,model_yes_probability,model_no_probability,provider_spread_high_f,confidence_gate_passed,is_open_tail,is_point_bucket,is_recommended_bucket,no_win,fees_enabled,fee_rate,fee_exponent,entry_timestamp,no_reference_price,price_age_seconds,no_fill_price,fee_per_share,no_entry_cost,no_edge,no_available,no_net_return,risk_usdc,fixed_4_pnl_usdc,sized_pnl_usdc
Tokyo,RJTT,2026-03-10,highest-temperature-in-tokyo-on-march-10-2026,highest-temperature-in-tokyo-on-march-10-2026-9c,9°C,0.08664634369929414,0.9133536563007059,0.9072125071172225,True,False,False,False,False,False,0.0,1.0,1773108900,0.3,35.0,0.31,0.0,0.31,0.6033536563007058,True,-1.0,6.0,-4.0,-6.0
Tokyo,RJTT,2026-03-11,highest-temperature-in-tokyo-on-march-11-2026,highest-temperature-in-tokyo-on-march-11-2026-11c,11°C,0.05126542266297663,0.9487345773370234,2.8354979929219866,False,False,False,False,True,False,0.0,1.0,1773195300,0.715,31.0,0.725,0.0,0.725,0.2237345773370234,True,0.3793103448275863,6.0,1.5172413793103452,2.275862068965518
Tokyo,RJTT,2026-03-13,highest-temperature-in-tokyo-on-march-13-2026,highest-temperature-in-tokyo-on-march-13-2026-11c,11°C,0.025623300595550205,0.9743766994044498,2.884938597000101,False,False,False,False,True,False,0.0,1.0,1773368100,0.68,36.0,0.6900000000000001,0.0,0.6900000000000001,0.28437669940444976,True,0.44927536231884035,6.0,1.7971014492753614,2.695652173913042
Tokyo,RJTT,2026-03-17,highest-temperature-in-tokyo-on-march-17-2026,highest-temperature-in-tokyo-on-march-17-2026-15c,15°C,0.02261659458751848,0.9773834054124815,2.414943042187509,True,False,False,False,True,False,0.0,1.0,1773713700,0.695,22.0,0.705,0.0,0.705,0.2723834054124815,True,0.4184397163120568,6.0,1.6737588652482271,2.5106382978723407
Tokyo,RJTT,2026-03-18,highest-temperature-in-tokyo-on-march-18-2026,highest-temperature-in-tokyo-on-march-18-2026-14c,14°C,0.0233624266650987,0.9766375733349013,5.8063630078125925,True,False,False,False,True,False,0.0,1.0,1773800100,0.79,29.0,0.8,0.0,0.8,0.17663757333490127,True,0.25,6.0,1.0,1.5
Tokyo,RJTT,2026-03-27,highest-temperature-in-tokyo-on-march-27-2026,highest-temperature-in-tokyo-on-march-27-2026-18c,18°C,0.030949349504395873,0.9690506504956041,3.003322627441392,True,False,False,False,True,False,0.0,1.0,1774577700,0.795,30.0,0.805,0.0,0.805,0.16405065049560408,True,0.2422360248447204,6.0,0.9689440993788816,1.4534161490683224
Tokyo,RJTT,2026-03-30,highest-temperature-in-tokyo-on-march-30-2026,highest-temperature-in-tokyo-on-march-30-2026-18c,18°C,0.030247250931776277,0.9697527490682237,4.359503933261735,True,False,False,False,True,False,0.0,1.0,1774836900,0.74,14.0,0.75,0.0,0.75,0.21975274906822373,True,0.33333333333333326,6.0,1.333333333333333,1.9999999999999996
Tokyo,RJTT,2026-04-02,highest-temperature-in-tokyo-on-april-2-2026,highest-temperature-in-tokyo-on-april-2-2026-15c,15°C,0.09867571311592327,0.9013242868840767,2.628966137519569,False,False,False,False,True,True,0.05,1.0,1775096100,0.72,22.0,0.73,0.009855000000000001,0.7398549999999999,0.1614692868840768,True,0.35161619506524944,6.0,1.4064647802609977,2.1096971703914966
Tokyo,RJTT,2026-04-08,highest-temperature-in-tokyo-on-april-8-2026,highest-temperature-in-tokyo-on-april-8-2026-18c,18°C,0.014012715726107964,0.985987284273892,4.371620162695329,False,False,False,False,True,True,0.05,1.0,1775614500,0.615,25.0,0.625,0.01171875,0.63671875,0.34926853427389204,True,0.5705521472392638,6.0,2.2822085889570554,3.423312883435583
Tokyo,RJTT,2026-04-11,highest-temperature-in-tokyo-on-april-11-2026,highest-temperature-in-tokyo-on-april-11-2026-25c,25°C,0.028978166470165528,0.9710218335298345,5.810833180054658,False,False,False,False,False,True,0.05,1.0,1775873700,0.58,5.0,0.59,0.012095000000000002,0.6020949999999999,0.3689268335298346,True,-1.0,6.0,-4.0,-6.0
Tokyo,RJTT,2026-04-14,highest-temperature-in-tokyo-on-april-14-2026,highest-temperature-in-tokyo-on-april-14-2026-23c,23°C,0.05281905482976308,0.9471809451702369,4.6663224306328175,False,False,False,False,True,True,0.05,1.0,1776132900,0.625,19.0,0.635,0.011588750000000002,0.64658875,0.30059219517023683,True,0.5465780992941802,6.0,2.186312397176721,3.2794685957650813
Tokyo,RJTT,2026-04-19,highest-temperature-in-tokyo-on-april-19-2026,highest-temperature-in-tokyo-on-april-19-2026-24c,24°C,0.02732782693674129,0.9726721730632587,5.550433127472701,False,False,False,False,True,True,0.05,1.0,1776564900,0.555,9.0,0.5650000000000001,0.012288750000000001,0.57728875,0.3953834230632587,True,0.7322353848052643,6.0,2.928941539221057,4.393412308831586
Tokyo,RJTT,2026-04-27,highest-temperature-in-tokyo-on-april-27-2026,highest-temperature-in-tokyo-on-april-27-2026-18c,18°C,0.12375785991129364,0.8762421400887064,3.8160955321875454,True,False,False,False,True,True,0.05,1.0,1777256100,0.44,56.0,0.45,0.012375000000000002,0.46237500000000004,0.41386714008870634,True,1.1627466882941335,6.0,4.650986753176534,6.976480129764801
Tokyo,RJTT,2026-05-10,highest-temperature-in-tokyo-on-may-10-2026,highest-temperature-in-tokyo-on-may-10-2026-24c,24°C,0.011419733436321675,0.9885802665636784,3.161975459765628,True,False,False,False,True,True,0.05,1.0,1778379300,0.79,55.0,0.8,0.007999999999999998,0.808,0.18058026656367832,True,0.2376237623762376,6.0,0.9504950495049505,1.4257425742574257
Tokyo,RJTT,2026-05-15,highest-temperature-in-tokyo-on-may-15-2026,highest-temperature-in-tokyo-on-may-15-2026-24c,24°C,0.06452263469619453,0.9354773653038054,4.757731893105358,False,False,False,False,True,True,0.05,1.0,1778811300,0.655,56.0,0.665,0.011138750000000001,0.67613875,0.2593386153038054,True,0.4789863766867377,6.0,1.9159455067469509,2.8739182601204263
Tokyo,RJTT,2026-05-29,highest-temperature-in-tokyo-on-may-29-2026,highest-temperature-in-tokyo-on-may-29-2026-30c,30°C,0.10033683573414974,0.8996631642658502,3.794596900312527,True,False,False,False,False,True,0.05,1.0,1780020900,0.51,57.0,0.52,0.01248,0.5324800000000001,0.3671831642658502,True,-1.0,6.0,-4.0,-6.0
Tokyo,RJTT,2026-06-15,highest-temperature-in-tokyo-on-june-15-2026,highest-temperature-in-tokyo-on-june-15-2026-22c,22°C,0.10838512232460774,0.8916148776753923,2.7383698828125915,True,False,False,False,False,True,0.05,1.0,1781489700,0.585,57.0,0.595,0.01204875,0.60704875,0.28456612767539224,True,-1.0,6.0,-4.0,-6.0
Tokyo,RJTT,2026-06-21,highest-temperature-in-tokyo-on-june-21-2026,highest-temperature-in-tokyo-on-june-21-2026-28c,28°C,0.024269753425959533,0.9757302465740405,9.634249966464736,False,False,False,False,True,True,0.05,1.0,1782008100,0.655,57.0,0.665,0.011138750000000001,0.67613875,0.2995914965740405,True,0.4789863766867377,6.0,1.9159455067469509,2.8739182601204263
Tokyo,RJTT,2026-06-23,highest-temperature-in-tokyo-on-june-23-2026,highest-temperature-in-tokyo-on-june-23-2026-25c,25°C,0.0280226111301119,0.971977388869888,4.723288714863344,False,False,False,False,True,True,0.05,1.0,1782180900,0.65,56.0,0.66,0.01122,0.67122,0.300757388869888,True,0.4898244986740561,6.0,1.9592979946962243,2.9389469920443365
Tokyo,RJTT,2026-06-29,highest-temperature-in-tokyo-on-june-29-2026,highest-temperature-in-tokyo-on-june-29-2026-26c,26°C,0.017081088290437318,0.9829189117095627,9.086577637499914,False,False,False,False,True,True,0.05,1.0,1782699300,0.61,45.0,0.62,0.01178,0.63178,0.3511389117095627,True,0.5828294659533382,6.0,2.3313178638133527,3.496976795720029
Tokyo,RJTT,2026-07-06,highest-temperature-in-tokyo-on-july-6-2026,highest-temperature-in-tokyo-on-july-6-2026-26c,26°C,0.09483576975702722,0.9051642302429728,1.7594610131250334,True,False,False,False,False,True,0.05,1.0,1783304100,0.411,56.0,0.421,0.01218795,0.43318795,0.4719762802429728,True,-1.0,6.0,-4.0,-6.0
Tokyo,RJTT,2026-07-13,highest-temperature-in-tokyo-on-july-13-2026,highest-temperature-in-tokyo-on-july-13-2026-31c,31°C,0.004502798398901533,0.9954972016010984,5.970643082929627,False,False,False,False,True,True,0.05,1.0,1783908900,0.815,57.0,0.825,0.007218750000000002,0.83221875,0.16327845160109844,True,0.20160714956253978,6.0,0.8064285982501591,1.2096428973752387
