station,contract_date,model,actual_high_f,predicted_high_f,observed_high_11am_f,gfs_high_f,hrrr_high_f,nbm_high_f,actual_rounded_f,predicted_rounded_f,actual_bucket,predicted_bucket,bucket_hit,error_f,absolute_error_f
KATL,2026-07-03,v11_settlement,93.0,96.14466330857265,90.0,96.52121093750004,97.88494384765627,93.64998901367191,93,96,92-93,96-97,False,-3.144663308572646,3.144663308572646
KATL,2026-07-04,v11_settlement,93.0,94.5154790488275,87.0,97.27223632812505,93.4124096679688,93.64998901367191,93,95,92-93,94-95,False,-1.5154790488275012,1.5154790488275012
KATL,2026-07-05,v11_settlement,93.0,94.50061901765893,89.0,98.33000000000004,92.89110839843754,92.39002197265629,93,95,92-93,94-95,False,-1.5006190176589342,1.5006190176589342
KATL,2026-07-06,v11_settlement,90.0,89.52160144972996,80.0,93.58846557617191,87.39096801757816,87.71001098632817,90,90,90-91,90-91,True,0.4783985502700432,0.4783985502700432
KATL,2026-07-07,v11_settlement,92.0,92.74423463892722,85.0,95.09227416992192,92.44764526367192,91.13000000000004,92,93,92-93,92-93,True,-0.7442346389272245,0.7442346389272245
KATL,2026-07-08,v11_settlement,93.0,92.20326670329655,85.0,95.44713256835942,92.35882080078127,91.13000000000004,93,92,92-93,92-93,True,0.7967332967034508,0.7967332967034508
KATL,2026-07-09,v11_settlement,95.0,93.40947876195861,88.0,96.2618237304688,91.64553344726566,91.13000000000004,95,93,94-95,92-93,False,1.59052123804139,1.59052123804139
KATL,2026-07-10,v11_settlement,92.0,92.91987729316114,87.0,96.8876599121094,91.1725170898438,90.59002197265627,92,93,92-93,92-93,True,-0.9198772931611359,0.9198772931611359
KATL,2026-07-11,v11_settlement,94.0,92.14627788018174,86.0,93.11462524414068,93.1131420898438,88.43000000000004,94,92,94-95,92-93,False,1.8537221198182579,1.8537221198182579
KATL,2026-07-12,v11_settlement,92.0,90.91819600087968,86.0,93.64998901367191,89.56175659179692,86.44998901367191,92,91,92-93,90-91,False,1.081803999120325,1.081803999120325
KATL,2026-07-13,v11_settlement,82.0,83.99094787187013,78.0,85.48039062500004,82.17669189453129,81.04998901367192,82,84,82-83,84-85,False,-1.9909478718701337,1.9909478718701337
KATL,2026-07-14,v11_settlement,84.0,81.15336032952064,78.0,78.67924926757817,79.23894775390629,78.89002197265629,84,81,84-85,80-81,False,2.8466396704793624,2.8466396704793624
KATL,2026-07-03,v20,93.0,96.9435738840428,90.0,96.52121093750004,97.88494384765627,93.64998901367191,93,97,92-93,96-97,False,-3.943573884042806,3.943573884042806
KATL,2026-07-04,v20,93.0,94.09881367593051,87.0,97.27223632812505,93.4124096679688,93.64998901367191,93,94,92-93,94-95,False,-1.098813675930515,1.098813675930515
KATL,2026-07-05,v20,93.0,94.55685560428454,89.0,98.33000000000004,92.89110839843754,92.39002197265629,93,95,92-93,94-95,False,-1.5568556042845358,1.5568556042845358
KATL,2026-07-06,v20,90.0,88.77313936884647,80.0,93.58846557617191,87.39096801757816,87.71001098632817,90,89,90-91,88-89,False,1.226860631153528,1.226860631153528
KATL,2026-07-07,v20,92.0,92.10630809781927,85.0,95.09227416992192,92.44764526367192,91.13000000000004,92,92,92-93,92-93,True,-0.10630809781926587,0.10630809781926587
KATL,2026-07-08,v20,93.0,91.93374566126258,85.0,95.44713256835942,92.35882080078127,91.13000000000004,93,92,92-93,92-93,True,1.0662543387374228,1.0662543387374228
KATL,2026-07-09,v20,95.0,93.25417064735709,88.0,96.2618237304688,91.64553344726566,91.13000000000004,95,93,94-95,92-93,False,1.7458293526429145,1.7458293526429145
KATL,2026-07-10,v20,92.0,92.36967468297826,87.0,96.8876599121094,91.1725170898438,90.59002197265627,92,92,92-93,92-93,True,-0.3696746829782569,0.3696746829782569
KATL,2026-07-11,v20,94.0,92.16842033318888,86.0,93.11462524414068,93.1131420898438,88.43000000000004,94,92,94-95,92-93,False,1.8315796668111233,1.8315796668111233
KATL,2026-07-12,v20,92.0,90.81992701798404,86.0,93.64998901367191,89.56175659179692,86.44998901367191,92,91,92-93,90-91,False,1.1800729820159575,1.1800729820159575
KATL,2026-07-13,v20,82.0,83.32827451292317,78.0,85.48039062500004,82.17669189453129,81.04998901367192,82,83,82-83,82-83,True,-1.3282745129231728,1.3282745129231728
KATL,2026-07-14,v20,84.0,81.77508446877319,78.0,78.67924926757817,79.23894775390629,78.89002197265629,84,82,84-85,82-83,False,2.224915531226813,2.224915531226813
KDAL,2026-07-03,v11_settlement,97.0,97.2570180555755,90.0,101.43308837890628,95.3411694335938,95.63000000000004,97,97,96-97,96-97,True,-0.25701805557550017,0.25701805557550017
KDAL,2026-07-04,v11_settlement,98.0,99.48456285040749,92.0,104.8882885742188,97.58177612304692,97.79002197265628,98,99,98-99,98-99,True,-1.4845628504074853,1.4845628504074853
KDAL,2026-07-05,v11_settlement,97.0,97.51122800009139,91.0,102.1856518554688,97.71460083007815,95.81001098632817,97,98,96-97,98-99,False,-0.5112280000913927,0.5112280000913927
KDAL,2026-07-06,v11_settlement,98.0,97.20859880033089,90.0,101.72757690429692,96.39624145507815,94.73000000000005,98,97,98-99,96-97,False,0.7914011996691102,0.7914011996691102
KDAL,2026-07-07,v11_settlement,101.0,97.51492141421792,91.0,101.57431762695316,96.47754028320315,95.09002197265627,101,98,100-101,98-99,False,3.4850785857820767,3.4850785857820767
KDAL,2026-07-08,v11_settlement,101.0,99.98945023727981,92.0,103.13338745117191,98.4329418945313,97.79002197265628,101,100,100-101,100-101,True,1.0105497627201885,1.0105497627201885
KDAL,2026-07-09,v11_settlement,101.0,100.40942698847088,91.0,104.5358471679688,98.1691052246094,99.94998901367192,101,100,100-101,100-101,True,0.5905730115291163,0.5905730115291163
KDAL,2026-07-10,v11_settlement,98.0,99.18259944650065,91.0,103.1867260742188,95.9502514648438,98.51001098632815,98,99,98-99,98-99,True,-1.182599446500646,1.182599446500646
KDAL,2026-07-11,v11_settlement,98.0,97.21394357904975,90.0,98.30819213867191,95.79435546875004,96.71001098632816,98,97,98-99,96-97,False,0.7860564209502456,0.7860564209502456
KDAL,2026-07-12,v11_settlement,98.0,94.36219283130755,87.0,94.42545898437504,93.05332153320316,92.03000000000004,98,94,98-99,94-95,False,3.637807168692447,3.637807168692447
