contract_date,actual_high_f,actual_high_c,actual_high_c_source,point_prediction_f,point_prediction_c,offset_c,offset_class_c,point_bucket_c,actual_bucket_c,recommended_bucket_c,recommended_bucket_probability_c,actual_bucket_probability_c,market_top_probability_c,market_top_two_margin_c,market_switch_advantage_c,market_tail_ambiguity_c,celsius_offset_probabilities,market_bucket_probabilities_c,market_probability_decision,market_probability_decision_reason,old_mapped_recommended_bucket_c,old_mapped_actual_bucket_probability_c,old_mapped_hit,old_mapped_market_brier,old_mapped_market_bucket_probabilities_c,probability_decision,probability_decision_reason,recommended_bucket,recommended_hit,point_hit,nearest_celsius_point_hit,new_celsius_hit
2026-01-01,24.8,-4.0,actual_high_f_converted_to_c,25.405641217568007,-3.663532656906663,0,3,-4,-4,-4,0.3829335503837207,0.3829335503837207,0.3829335503837207,0.0074991872812578,0.0,True,"{""+1"": 0.13615158675577896, ""+2"": 0.007591714503444353, ""-1"": 0.3754343631024628, ""-2"": 0.07187213845633765, ""0"": 0.3829335503837207, ""<=-3"": 0.00093552042080447, "">=+3"": 0.0250811263774511}","{""-1"": 0.017160770679308646, ""-2"": 0.007591714503444353, ""-3"": 0.13615158675577896, ""-4"": 0.3829335503837207, ""-5"": 0.3754343631024628, ""-6"": 0.07187213845633765, ""-7"": 0.00093552042080447, ""0"": 0.003960177849071226, ""1"": 0.003960177849071226}",no_trade,tail_allocation_ambiguous,-4,0.4572203744931963,True,0.39066198785191325,"{""-6"": 0.08464499454383444, ""-5"": 0.1925998300529949, ""-4"": 0.4572203744931963, ""-3"": 0.22524784165597816, ""-2"": 0.03201698984757998, ""-1"": 0.004961981643849728, ""0"": 0.0004134984703208106, ""1"": 0.0024809908219248634, ""2"": 0.0004134984703208106}",shadow_trade,confidence_passed,24-25,True,True,True,True
2026-01-02,24.8,-4.0,actual_high_f_converted_to_c,22.39244262423672,-5.337531875424044,1,4,-5,-4,-5,0.4709129260876303,0.2146622949123463,0.4709129260876303,0.2536112354178881,0.0,False,"{""+1"": 0.21466229491234634, ""+2"": 0.01715669496874788, ""-1"": 0.21730169066974223, ""-2"": 0.046629820054176915, ""0"": 0.4709129260876303, ""<=-3"": 0.0007221982414215011, "">=+3"": 0.032614375065934766}","{""-1"": 0.00514963816830549, ""-2"": 0.02231509872932379, ""-3"": 0.017156694968747884, ""-4"": 0.21466229491234637, ""-5"": 0.47091292608763036, ""-6"": 0.21730169066974225, ""-7"": 0.04662982005417692, ""-8"": 0.0007221982414215012, ""0"": 0.00514963816830549}",shadow_trade,confidence_passed,-6,0.16579057571674422,False,0.9642037012426341,"{""-8"": 0.005201989748277246, ""-7"": 0.14217153041794617, ""-6"": 0.45577266303238173, ""-5"": 0.19955904722448123, ""-4"": 0.16579057571674422, ""-3"": 0.021515059221579112, ""-2"": 0.0046103698331955234, ""-1"": 0.0046103698331955234, ""0"": 0.000768394972199254}",shadow_trade,confidence_passed,22-23,False,False,False,False
2026-01-03,32.0,0.0,actual_high_f_converted_to_c,34.368864970946134,1.316036094970075,-1,2,1,0,0,0.2721065766947635,0.2721065766947635,0.2721065766947635,0.0571608373289025,0.0571608373289025,True,"{""+1"": 0.18229619584387122, ""+2"": 0.13008203483175013, ""-1"": 0.27210657669476357, ""-2"": 0.12865179582092146, ""0"": 0.21494573936586098, ""<=-3"": 0.001555979627929527, "">=+3"": 0.07036167781490317}","{""-1"": 0.12865179582092146, ""-2"": 0.001555979627929527, ""0"": 0.27210657669476357, ""1"": 0.21494573936586098, ""2"": 0.18229619584387122, ""3"": 0.13008203483175013, ""4"": 0.04814220061019691, ""5"": 0.011109738602353132, ""6"": 0.011109738602353132}",no_trade,tail_allocation_ambiguous,1,0.1947552698532462,False,0.8005548678451815,"{""-2"": 0.00023407690241876209, ""-1"": 0.10003039494564554, ""0"": 0.1947552698532462, ""1"": 0.2734870486068815, ""2"": 0.21151755804144087, ""3"": 0.14040703094184945, ""4"": 0.0477411724251106, ""5"": 0.003978431035425883, ""6"": 0.023870586212555295, ""7"": 0.003978431035425883}",no_trade,tail_allocation_ambiguous,32-33,True,False,False,True
2026-01-04,37.4,2.999999999999999,actual_high_f_converted_to_c,37.81817522047885,3.232319566932694,0,3,3,3,3,0.5262397763950013,0.5262397763950013,0.5262397763950013,0.26071655509252,0.0,False,"{""+1"": 0.135252079642581, ""+2"": 0.009589325615203138, ""-1"": 0.26552322130248135, ""-2"": 0.04990952376148339, ""0"": 0.5262397763950014, ""<=-3"": 0.0009285914096507373, "">=+3"": 0.012557481873599115}","{""0"": 0.000928591409650737, ""1"": 0.049909523761483374, ""2"": 0.2655232213024813, ""3"": 0.5262397763950013, ""4"": 0.13525207964258099, ""5"": 0.009589325615203136, ""6"": 0.008591961281936235, ""7"": 0.001982760295831439, ""8"": 0.001982760295831439}",shadow_trade,confidence_passed,3,0.5945275830009484,True,0.23968730856434484,"{""2"": 0.1273932837613328, ""3"": 0.5945275830009484, ""4"": 0.24194620976217396, ""5"": 0.005316600492060241, ""6"": 0.0210452937448187, ""7"": 0.004509705802461149, ""8"": 0.004509705802461149, ""9"": 0.0007516176337435249}",no_trade,tail_allocation_ambiguous,38-39,False,False,True,True
2026-01-05,33.8,0.9999999999999984,actual_high_f_converted_to_c,34.582216889537044,1.434564938631691,0,3,1,1,1,0.4902919724746443,0.4902919724746443,0.4902919724746443,0.186551686261759,0.0,False,"{""+1"": 0.15564672539602445, ""+2"": 0.0018409474884432337, ""-1"": 0.30374028621288535, ""-2"": 0.037743698269245084, ""0"": 0.49029197247464446, ""<=-3"": 0.0009298478080537187, "">=+3"": 0.009806522350703832}","{""-1"": 0.03774369826924508, ""-2"": 0.0009298478080537185, ""0"": 0.3037402862128853, ""1"": 0.49029197247464434, ""2"": 0.15564672539602442, ""3"": 0.0018409474884432332, ""4"": 0.006709725818902621, ""5"": 0.0015483982659006046, ""6"": 0.0015483982659006046}",shadow_trade,confidence_passed,1,0.5986672064589668,True,0.2521487708373255,"{""0"": 0.09552243640284076, ""1"": 0.5986672064589668, ""2"": 0.2858326779996433, ""3"": 0.015739476574897916, ""4"": 0.0025429215381907577, ""5"": 0.0002119101281825632, ""6"": 0.001271460769095379, ""7"": 0.0002119101281825632}",shadow_trade,confidence_passed,34-35,True,True,True,True
2026-01-06,39.2,4.000000000000002,actual_high_f_converted_to_c,39.58377432192567,4.213207956625371,0,3,4,4,4,0.3753541481613017,0.3753541481613017,0.3753541481613017,0.1163397511339951,0.0,False,"{""+1"": 0.25901439702730655, ""+2"": 0.05479255812347756, ""-1"": 0.1802616496707028, ""-2"": 0.08116421022979538, ""0"": 0.3753541481613017, ""<=-3"": 0.0020967499853788985, "">=+3"": 0.04731628680203709}","{""1"": 0.0020967499853788985, ""2"": 0.08116421022979538, ""3"": 0.1802616496707028, ""4"": 0.3753541481613017, ""5"": 0.25901439702730655, ""6"": 0.05479255812347756, ""7"": 0.03237430149613064, ""8"": 0.007470992652953224, ""9"": 0.007470992652953224}",no_trade,top_probability_below_threshold,4,0.38864675144831773,True,0.44639032420536723,"{""2"": 0.038282346302386513, ""3"": 0.1531657196560843, ""4"": 0.38864675144831773, ""5"": 0.11901788718302328, ""6"": 0.0571960940067486, ""7"": 0.16642325949503198, ""8"": 0.03566212703464971, ""9"": 0.03566212703464971, ""10"": 0.005943687839108285}",no_trade,tail_allocation_ambiguous,40-41,False,False,True,True
2026-01-07,41.0,5.0,actual_high_f_converted_to_c,41.02456685439331,5.0136482524407295,0,3,5,5,5,0.7076085427635956,0.7076085427635956,0.7076085427635956,0.5652660969220851,0.0,False,"{""+1"": 0.1299545240516639, ""+2"": 9.999999999989993e-13, ""-1"": 0.14234244584151054, ""-2"": 0.012935828715347089, ""0"": 0.7076085427635955, ""<=-3"": 0.0008627665741202357, "">=+3"": 0.006295892052762545}","{""10"": 0.0009940882188572441, ""2"": 0.0008627665741202358, ""3"": 0.01293582871534709, ""4"": 0.14234244584151057, ""5"": 0.7076085427635956, ""6"": 0.12995452405166394, ""7"": 9.999999999989995e-13, ""8"": 0.004307715615048058, ""9"": 0.0009940882188572441}",shadow_trade,confidence_passed,5,0.8150111041498778,True,0.06746956098641001,"{""5"": 0.8150111041498778, ""6"": 0.18233154587291972, ""7"": 0.0019072655343933976, ""8"": 0.0004500506656854641, ""9"": 0.00015001688856182137, ""10"": 0.00011251266642136602, ""11"": 3.750422214045534e-05}",shadow_trade,confidence_passed,40-41,True,True,True,True
2026-01-08,28.4,-2.000000000000001,actual_high_f_converted_to_c,28.81762138628388,-1.7679881187311786,0,3,-2,-2,-2,0.5760709288075386,0.5760709288075386,0.5760709288075386,0.3669318568958017,0.0,False,"{""+1"": 0.17031022193839065, ""+2"": 9.99999999999001e-13, ""-1"": 0.20913907191173692, ""-2"": 0.026173368361653758, ""0"": 0.5760709288075386, ""<=-3"": 0.0008466630624229118, "">=+3"": 0.01745974591725709}","{""-1"": 0.17031022193839065, ""-2"": 0.5760709288075386, ""-3"": 0.2091390719117369, ""-4"": 0.026173368361653754, ""-5"": 0.0008466630624229117, ""0"": 9.99999999999001e-13, ""1"": 0.011946141943386428, ""2"": 0.0027568019869353296, ""3"": 0.0027568019869353296}",shadow_trade,confidence_passed,-2,0.5600157789670788,True,0.29745020220670026,"{""-4"": 0.005329041856836945, ""-3"": 0.12307057926868371, ""-2"": 0.5600157789670788, ""-1"": 0.29769635075966155, ""0"": 0.003846371284815354, ""1"": 0.006857867808825922, ""2"": 0.0014695431018912689, ""3"": 0.0014695431018912689, ""4"": 0.0002449238503152115}",shadow_trade,confidence_passed,28-29,True,True,True,True
2026-01-09,44.6,7.000000000000001,actual_high_f_converted_to_c,44.18978386338398,6.772102146324433,0,3,7,7,8,0.3786284829862423,0.2994912013763702,0.3786284829862423,0.0791372816098721,0.0791372816098721,False,"{""+1"": 0.3786284829862423, ""+2"": 0.07122721011300326, ""-1"": 0.1306453768153374, ""-2"": 0.09270166183661264, ""0"": 0.2994912013763702, ""<=-3"": 0.001970145024953852, "">=+3"": 0.025335921847480392}","{""10"": 0.01733510442196027, ""11"": 0.0040004087127600615, ""12"": 0.0040004087127600615, ""4"": 0.001970145024953852, ""5"": 0.09270166183661264, ""6"": 0.1306453768153374, ""7"": 0.2994912013763702, ""8"": 0.3786284829862423, ""9"": 0.07122721011300326}",no_trade,top_probability_below_threshold,7,0.42658897128948825,True,0.40863629013446423,"{""4"": 0.06209401296975234, ""5"": 0.0365759273534207, ""6"": 0.1678577429355124, ""7"": 0.42658897128948825, ""8"": 0.20252981783030302, ""9"": 0.07126582374152816, ""10"": 0.012726039953844314, ""11"": 0.01018083196307545, ""12"": 0.01018083196307545}",shadow_trade,confidence_passed,44-45,True,True,True,False
2026-01-10,46.4,8.0,actual_high_f_converted_to_c,46.69419048751103,8.16343915972835,0,3,8,8,8,0.6188134048599654,0.6188134048599654,0.6188134048599654,0.4012552563852136,0.0,False,"{""+1"": 0.1348173351489709, ""+2"": 0.0016237018299512598, ""-1"": 0.2175581484747517, ""-2"": 0.02142089547110105, ""0"": 0.6188134048599653, ""<=-3"": 0.001094306120015931, "">=+3"": 0.0046722080952437215}","{""10"": 0.0016237018299512602, ""11"": 0.0031967739599035997, ""12"": 0.0007377170676700614, ""13"": 0.0007377170676700614, ""5"": 0.0010943061200159312, ""6"": 0.021420895471101053, ""7"": 0.21755814847475174, ""8"": 0.6188134048599654, ""9"": 0.13481733514897093}",shadow_trade,confidence_passed,8,0.8472432597159452,True,0.045580604445333045,"{""8"": 0.8472432597159452, ""9"": 0.14913062676370537, ""10"": 0.00019530411272598475, ""11"": 0.0023429917905721394, ""12"": 0.0005020696694083155, ""13"": 0.0005020696694083156, ""14"": 8.367827823471928e-05}",shadow_trade,confidence_passed,46-47,True,True,True,True
