contract_date,market_slug,bucket_label,entry_cost,model_probability,edge,win,net_return,pnl_usdc,risk_usdc,sized_pnl_usdc,month
2026-01-02,highest-temperature-in-seoul-on-january-2-neg-5c,-5°C,0.23500000000000001,0.47091292608763036,0.23591292608763034,False,-1.0,-4.0,6.0,-6.0,january
2026-01-03,highest-temperature-in-seoul-on-january-3-0c,0°C,0.08049999999999999,0.27210657669476357,0.19160657669476358,True,11.422360248447207,45.68944099378883,6.0,68.53416149068325,january
2026-01-04,highest-temperature-in-seoul-on-january-4-3c,3°C,0.48,0.5262397763950013,0.04623977639500132,True,1.0833333333333335,4.333333333333334,4.0,4.333333333333334,january
2026-01-08,highest-temperature-in-seoul-on-january-8-neg-2c,-2°C,0.31,0.5760709288075386,0.26607092880753863,True,2.2258064516129035,8.903225806451614,6.0,13.35483870967742,january
2026-01-09,highest-temperature-in-seoul-on-january-9-8corhigher,8°C or higher,0.039,0.47519161494672596,0.436191614946726,False,-1.0,-4.0,6.0,-6.0,january
2026-01-11,highest-temperature-in-seoul-on-january-11-neg-3c,-3°C,0.41500000000000004,0.5033339940990413,0.0883339940990413,True,1.4096385542168672,5.638554216867469,4.0,5.638554216867469,january
2026-01-12,highest-temperature-in-seoul-on-january-12-3c,3°C,0.25,0.29301971449123665,0.04301971449123665,False,-1.0,-4.0,4.0,-4.0,january
2026-01-16,highest-temperature-in-seoul-on-january-16-5c,5°C,0.24000000000000002,0.3462307836118964,0.10623078361189639,False,-1.0,-4.0,4.0,-4.0,january
2026-01-18,highest-temperature-in-seoul-on-january-18-1corbelow,1°C or below,0.0925,0.4224461159930416,0.3299461159930416,False,-1.0,-4.0,6.0,-6.0,january
2026-01-20,highest-temperature-in-seoul-on-january-20-neg-6c,-6°C,0.125,0.3975239801946253,0.2725239801946253,True,7.0,28.0,6.0,42.0,january
2026-01-23,highest-temperature-in-seoul-on-january-23-0corhigher,0°C or higher,0.165,0.7662091069530516,0.6012091069530515,False,-1.0,-4.0,6.0,-6.0,january
2026-01-26,highest-temperature-in-seoul-on-january-26-0c,0°C,0.0295,0.3198115261195373,0.29031152611953726,False,-1.0,-4.0,6.0,-6.0,january
2026-01-27,highest-temperature-in-seoul-on-january-27-neg-1c,-1°C,0.27,0.5536911927972239,0.2836911927972239,True,2.7037037037037033,10.814814814814813,6.0,16.22222222222222,january
2026-01-29,highest-temperature-in-seoul-on-january-29-neg-1c,-1°C,0.445,0.6000230576277372,0.15502305762773722,True,1.2471910112359552,4.988764044943821,6.0,7.483146067415731,january
2026-01-30,highest-temperature-in-seoul-on-january-30-neg-4c,-4°C,0.17500000000000002,0.5161238295186344,0.3411238295186344,False,-1.0,-4.0,6.0,-6.0,january
2026-02-01,highest-temperature-in-seoul-on-february-1-2c,2°C,0.035,0.5019521264926332,0.4669521264926332,False,-1.0,-4.0,6.0,-6.0,february
2026-02-03,highest-temperature-in-seoul-on-february-3-2026-4corhigher,4°C or higher,0.0635,0.8278498255428757,0.7643498255428757,False,-1.0,-4.0,6.0,-6.0,february
2026-02-04,highest-temperature-in-seoul-on-february-4-2026-7corhigher,7°C or higher,0.044000000000000004,0.6428831768566541,0.598883176856654,True,21.727272727272727,86.9090909090909,6.0,130.36363636363637,february
2026-02-05,highest-temperature-in-seoul-on-february-5-2026-8corhigher,8°C or higher,0.71,0.8825418587320526,0.17254185873205263,True,0.40845070422535223,1.633802816901409,6.0,2.4507042253521134,february
2026-02-07,highest-temperature-in-seoul-on-february-7-2026-neg-6c,-6°C,0.135,0.5116834370461321,0.37668343704613205,False,-1.0,-4.0,6.0,-6.0,february
2026-02-13,highest-temperature-in-seoul-on-february-13-2026-9corhigher,9°C or higher,0.47000000000000003,0.8904206179434782,0.4204206179434781,True,1.127659574468085,4.51063829787234,6.0,6.76595744680851,february
2026-02-14,highest-temperature-in-seoul-on-february-14-2026-11corhigher,11°C or higher,0.072,0.6950768859089108,0.6230768859089109,True,12.88888888888889,51.55555555555556,6.0,77.33333333333334,february
2026-02-15,highest-temperature-in-seoul-on-february-15-2026-9corhigher,9°C or higher,0.5650000000000001,0.6102244744270748,0.04522447442707478,False,-1.0,-4.0,4.0,-4.0,february
2026-02-16,highest-temperature-in-seoul-on-february-16-2026-4c,4°C,0.22,0.3962215916290958,0.17622159162909581,False,-1.0,-4.0,6.0,-6.0,february
2026-02-18,highest-temperature-in-seoul-on-february-18-2026-5c,5°C,0.46,0.5289705007533507,0.0689705007533507,False,-1.0,-4.0,4.0,-4.0,february
2026-02-19,highest-temperature-in-seoul-on-february-19-2026-6c,6°C,0.315,0.5007260513413885,0.18572605134138848,False,-1.0,-4.0,6.0,-6.0,february
2026-02-21,highest-temperature-in-seoul-on-february-21-2026-14corhigher,14°C or higher,0.75,0.9165827273067936,0.16658272730679358,True,0.33333333333333326,1.333333333333333,6.0,1.9999999999999996,february
2026-02-23,highest-temperature-in-seoul-on-february-23-2026-4c,4°C,0.51,0.5307576239374682,0.02075762393746816,True,0.9607843137254901,3.8431372549019605,4.0,3.8431372549019605,february
2026-02-24,highest-temperature-in-seoul-on-february-24-2026-6c,6°C,0.095,0.3306909742388555,0.23569097423885552,False,-1.0,-4.0,6.0,-6.0,february
2026-02-25,highest-temperature-in-seoul-on-february-25-2026-9c,9°C,0.0955,0.34215254663859374,0.24665254663859373,False,-1.0,-4.0,6.0,-6.0,february
2026-02-26,highest-temperature-in-seoul-on-february-26-2026-11c,11°C,0.35000000000000003,0.4378463402734908,0.08784634027349075,True,1.8571428571428568,7.428571428571427,4.0,7.428571428571427,february
2026-02-27,highest-temperature-in-seoul-on-february-27-2026-13corhigher,13°C or higher,0.58,0.7482137727899805,0.1682137727899805,True,0.7241379310344829,2.8965517241379315,6.0,4.344827586206897,february
2026-03-01,highest-temperature-in-seoul-on-march-1-2026-13c,13°C,0.24200000000000002,0.40726792419422897,0.16526792419422895,False,-1.0,-4.0,6.0,-6.0,march
2026-03-03,highest-temperature-in-seoul-on-march-3-2026-10c,10°C,0.35000000000000003,0.4009305432006507,0.05093054320065066,True,1.8571428571428568,7.428571428571427,4.0,7.428571428571427,march
2026-03-04,highest-temperature-in-seoul-on-march-4-2026-8c,8°C,0.28500000000000003,0.45470350598019943,0.1697035059801994,False,-1.0,-4.0,6.0,-6.0,march
2026-03-05,highest-temperature-in-seoul-on-march-5-2026-9c,9°C,0.45,0.47952640380033024,0.029526403800330225,False,-1.0,-4.0,4.0,-4.0,march
2026-03-06,highest-temperature-in-seoul-on-march-6-2026-5c,5°C,0.47500000000000003,0.47848847818821705,0.0034884781882170146,False,-1.0,-4.0,4.0,-4.0,march
2026-03-09,highest-temperature-in-seoul-on-march-9-2026-8c,8°C,0.27,0.4710566767821721,0.2010566767821721,False,-1.0,-4.0,6.0,-6.0,march
2026-03-10,highest-temperature-in-seoul-on-march-10-2026-7c,7°C,0.455,0.5061399465540406,0.05113994655404058,True,1.1978021978021975,4.79120879120879,4.0,4.79120879120879,march
2026-03-11,highest-temperature-in-seoul-on-march-11-2026-8c,8°C,0.275,0.3742537963446443,0.09925379634464426,False,-1.0,-4.0,4.0,-4.0,march
2026-03-13,highest-temperature-in-seoul-on-march-13-2026-12corhigher,12°C or higher,0.2,0.7440972926454228,0.5440972926454228,False,-1.0,-4.0,6.0,-6.0,march
2026-03-14,highest-temperature-in-seoul-on-march-14-2026-10c,10°C,0.305,0.43429570932909634,0.12929570932909634,False,-1.0,-4.0,4.0,-4.0,march
2026-03-16,highest-temperature-in-seoul-on-march-16-2026-11c,11°C,0.19,0.4944206840487698,0.3044206840487698,False,-1.0,-4.0,6.0,-6.0,march
2026-03-17,highest-temperature-in-seoul-on-march-17-2026-12c,12°C,0.28,0.3953614597916905,0.11536145979169049,True,2.571428571428571,10.285714285714285,4.0,10.285714285714285,march
2026-03-18,highest-temperature-in-seoul-on-march-18-2026-8c,8°C,0.32,0.3522356916045914,0.03223569160459139,True,2.125,8.5,4.0,8.5,march
2026-03-21,highest-temperature-in-seoul-on-march-21-2026-11c,11°C,0.3,0.35702604369818547,0.05702604369818548,True,2.3333333333333335,9.333333333333334,4.0,9.333333333333334,march
2026-03-24,highest-temperature-in-seoul-on-march-24-2026-15corhigher,15°C or higher,0.465,0.7311148307454206,0.2661148307454206,False,-1.0,-4.0,6.0,-6.0,march
2026-04-01,highest-temperature-in-seoul-on-april-1-2026-16corhigher,16°C or higher,0.1894438,0.6426636014863933,0.45321980148639335,False,-1.0,-4.0,6.0,-6.0,april
2026-04-02,highest-temperature-in-seoul-on-april-2-2026-15c,15°C,0.17705500000000002,0.4224796969401995,0.24542469694019947,False,-1.0,-4.0,6.0,-6.0,april
2026-04-03,highest-temperature-in-seoul-on-april-3-2026-17c,17°C,0.26449875,0.3684674178486221,0.10396866784862208,False,-1.0,-4.0,4.0,-4.0,april
2026-04-05,highest-temperature-in-seoul-on-april-5-2026-14c,14°C,0.26449875,0.36669824026709497,0.10219949026709496,False,-1.0,-4.0,4.0,-4.0,april
2026-04-06,highest-temperature-in-seoul-on-april-6-2026-14c,14°C,0.09929875,0.4117302435823584,0.3124314935823584,True,9.070620224323065,36.28248089729226,6.0,54.42372134593839,april
2026-04-07,highest-temperature-in-seoul-on-april-7-2026-13c,13°C,0.3105,0.31139109972058404,0.0008910997205840432,False,-1.0,-4.0,4.0,-4.0,april
2026-04-08,highest-temperature-in-seoul-on-april-8-2026-13c,13°C,0.22858,0.402991540610727,0.174411540610727,True,3.374835943652113,13.499343774608452,6.0,20.24901566191268,april
2026-04-10,highest-temperature-in-seoul-on-april-10-2026-12c,12°C,0.37151999999999996,0.3837649903423349,0.01224499034233495,True,1.6916451335055989,6.7665805340223955,4.0,6.7665805340223955,april
2026-04-20,highest-temperature-in-seoul-on-april-20-2026-16c,16°C,0.09929875,0.4575683994240249,0.3582696494240249,False,-1.0,-4.0,6.0,-6.0,april
2026-04-21,highest-temperature-in-seoul-on-april-21-2026-15c,15°C,0.3105,0.4173064453145329,0.10680644531453293,False,-1.0,-4.0,4.0,-4.0,april
2026-04-22,highest-temperature-in-seoul-on-april-22-2026-16c,16°C,0.33596875000000004,0.36304441863883513,0.027075668638835093,False,-1.0,-4.0,4.0,-4.0,april
2026-04-23,highest-temperature-in-seoul-on-april-23-2026-22c,22°C,0.21829500000000002,0.3373782862858079,0.11908328628580789,True,3.580956961909343,14.323827847637371,4.0,14.323827847637371,april
2026-04-28,highest-temperature-in-seoul-on-april-28-2026-17c,17°C,0.18221875,0.3985937221158586,0.21637497211585857,False,-1.0,-4.0,6.0,-6.0,april
