contract_date,event_slug,event_id,actual_bucket_c,settled_bucket_label,settlement_matches_notebook,market_top_probability_c,market_top_two_margin_c,provider_spread_high_f,market_probability_decision,entry_timestamp,point_degree_c,point_market_id,point_market_slug,point_bucket_label,point_win,point_fees_enabled,point_fee_rate,point_fee_exponent,point_model_probability,probability_degree_c,probability_market_id,probability_market_slug,probability_bucket_label,probability_win,probability_fees_enabled,probability_fee_rate,probability_fee_exponent,probability_model_probability,point_reference_price,point_price_timestamp,point_price_age_seconds,point_fill_price,point_fee_per_share,point_entry_cost,point_edge,point_available,point_net_return,probability_reference_price,probability_price_timestamp,probability_price_age_seconds,probability_fill_price,probability_fee_per_share,probability_entry_cost,probability_edge,probability_available,probability_net_return
2026-01-01,highest-temperature-in-seoul-on-january-1,132827,-4,-4°C,True,0.3829335503837207,0.0074991872812578,3.1015082475000604,no_trade,1767233700,-4,1064865,highest-temperature-in-seoul-on-january-1-neg-4c,-4°C,True,False,0.0,1.0,0.3829335503837207,-4,1064865,highest-temperature-in-seoul-on-january-1-neg-4c,-4°C,True,False,0.0,1.0,0.3829335503837207,0.435,2026-01-01 02:14:07+00:00,53.0,0.445,0.0,0.445,-0.06206644961627933,True,1.2471910112359552,0.435,2026-01-01 02:14:07+00:00,53.0,0.445,0.0,0.445,-0.06206644961627933,True,1.2471910112359552
2026-01-02,highest-temperature-in-seoul-on-january-2,134722,-4,-4°C,True,0.4709129260876303,0.2536112354178881,1.415121491777381,shadow_trade,1767320100,-5,1072916,highest-temperature-in-seoul-on-january-2-neg-5c,-5°C,False,False,0.0,1.0,0.47091292608763036,-5,1072916,highest-temperature-in-seoul-on-january-2-neg-5c,-5°C,False,False,0.0,1.0,0.47091292608763036,0.225,2026-01-02 02:14:17+00:00,43.0,0.23500000000000001,0.0,0.23500000000000001,0.23591292608763034,True,-1.0,0.225,2026-01-02 02:14:17+00:00,43.0,0.23500000000000001,0.0,0.23500000000000001,0.23591292608763034,True,-1.0
2026-01-03,highest-temperature-in-seoul-on-january-3,136604,0,0°C,True,0.2721065766947635,0.0571608373289025,4.999116528808564,no_trade,1767406500,1,1080346,highest-temperature-in-seoul-on-january-3-1c,1°C,False,False,0.0,1.0,0.21494573936586098,0,1080345,highest-temperature-in-seoul-on-january-3-0c,0°C,True,False,0.0,1.0,0.27210657669476357,0.5,2026-01-03 02:14:09+00:00,51.0,0.51,0.0,0.51,-0.29505426063413903,True,-1.0,0.0705,2026-01-03 02:14:08+00:00,52.0,0.08049999999999999,0.0,0.08049999999999999,0.19160657669476358,True,11.422360248447207
2026-01-04,highest-temperature-in-seoul-on-january-4,138470,3,3°C,True,0.5262397763950013,0.26071655509252,1.551699967675674,shadow_trade,1767492900,3,1086271,highest-temperature-in-seoul-on-january-4-3c,3°C,True,False,0.0,1.0,0.5262397763950013,3,1086271,highest-temperature-in-seoul-on-january-4-3c,3°C,True,False,0.0,1.0,0.5262397763950013,0.47,2026-01-04 02:14:12+00:00,48.0,0.48,0.0,0.48,0.04623977639500132,True,1.0833333333333335,0.47,2026-01-04 02:14:12+00:00,48.0,0.48,0.0,0.48,0.04623977639500132,True,1.0833333333333335
2026-01-05,highest-temperature-in-seoul-on-january-5,140601,1,1°C,True,0.4902919724746443,0.186551686261759,0.5860803476602214,shadow_trade,1767579300,1,1095610,highest-temperature-in-seoul-on-january-5-1c,1°C,True,False,0.0,1.0,0.49029197247464434,1,1095610,highest-temperature-in-seoul-on-january-5-1c,1°C,True,False,0.0,1.0,0.49029197247464434,0.555,2026-01-05 02:14:09+00:00,51.0,0.5650000000000001,0.0,0.5650000000000001,-0.07470802752535571,True,0.7699115044247786,0.555,2026-01-05 02:14:09+00:00,51.0,0.5650000000000001,0.0,0.5650000000000001,-0.07470802752535571,True,0.7699115044247786
2026-01-06,highest-temperature-in-seoul-on-january-6,142596,4,4°C,True,0.3753541481613017,0.1163397511339951,1.1697143872499964,no_trade,1767665700,4,1103769,highest-temperature-in-seoul-on-january-6-4c,4°C,True,False,0.0,1.0,0.3753541481613017,4,1103769,highest-temperature-in-seoul-on-january-6-4c,4°C,True,False,0.0,1.0,0.3753541481613017,0.685,2026-01-06 02:14:21+00:00,39.0,0.6950000000000001,0.0,0.6950000000000001,-0.31964585183869837,True,0.4388489208633093,0.685,2026-01-06 02:14:21+00:00,39.0,0.6950000000000001,0.0,0.6950000000000001,-0.31964585183869837,True,0.4388489208633093
2026-01-07,highest-temperature-in-seoul-on-january-7,144840,5,5°C or higher,True,0.7076085427635956,0.5652660969220851,1.370208245238338,shadow_trade,1767752100,5,1113304,highest-temperature-in-seoul-on-january-7-5corhigher,5°C or higher,True,False,0.0,1.0,0.8438589588690222,5,1113304,highest-temperature-in-seoul-on-january-7-5corhigher,5°C or higher,True,False,0.0,1.0,0.8438589588690222,,,,,0.0,,,False,,,,,,0.0,,,False,
2026-01-08,highest-temperature-in-seoul-on-january-8,146710,-2,-2°C,True,0.5760709288075386,0.3669318568958017,0.1270743862500687,shadow_trade,1767838500,-2,1120870,highest-temperature-in-seoul-on-january-8-neg-2c,-2°C,True,False,0.0,1.0,0.5760709288075386,-2,1120870,highest-temperature-in-seoul-on-january-8-neg-2c,-2°C,True,False,0.0,1.0,0.5760709288075386,0.3,2026-01-08 02:14:13+00:00,47.0,0.31,0.0,0.31,0.26607092880753863,True,2.2258064516129035,0.3,2026-01-08 02:14:13+00:00,47.0,0.31,0.0,0.31,0.26607092880753863,True,2.2258064516129035
2026-01-09,highest-temperature-in-seoul-on-january-9,148957,7,7°C,True,0.3786284829862423,0.0791372816098721,1.081584635449239,no_trade,1767924900,7,1128331,highest-temperature-in-seoul-on-january-9-7c,7°C,True,False,0.0,1.0,0.2994912013763702,8,1128332,highest-temperature-in-seoul-on-january-9-8corhigher,8°C or higher,False,False,0.0,1.0,0.47519161494672596,0.17,2026-01-09 02:14:12+00:00,48.0,0.18000000000000002,0.0,0.18000000000000002,0.11949120137637018,True,4.5555555555555545,0.029,2026-01-09 02:14:10+00:00,50.0,0.039,0.0,0.039,0.436191614946726,True,-1.0
2026-01-10,highest-temperature-in-seoul-on-january-10,150871,8,8°C,True,0.6188134048599654,0.4012552563852136,2.2121392117500065,shadow_trade,1768011300,8,1135327,highest-temperature-in-seoul-on-january-10-8c,8°C,True,False,0.0,1.0,0.6188134048599654,8,1135327,highest-temperature-in-seoul-on-january-10-8c,8°C,True,False,0.0,1.0,0.6188134048599654,0.961,2026-01-10 02:14:12+00:00,48.0,0.971,0.0,0.971,-0.3521865951400346,True,0.029866117404737436,0.961,2026-01-10 02:14:12+00:00,48.0,0.971,0.0,0.971,-0.3521865951400346,True,0.029866117404737436
