contract_date,actual_high_f,actual_high_c,actual_high_c_source,point_prediction_f,point_prediction_c,offset_c,offset_class_c,point_bucket_c,actual_bucket_c,recommended_bucket_c,recommended_bucket_probability_c,actual_bucket_probability_c,market_top_probability_c,market_top_two_margin_c,market_switch_advantage_c,market_tail_ambiguity_c,celsius_offset_probabilities,market_bucket_probabilities_c,market_probability_decision,market_probability_decision_reason,old_mapped_recommended_bucket_c,old_mapped_actual_bucket_probability_c,old_mapped_hit,old_mapped_market_brier,old_mapped_market_bucket_probabilities_c,probability_decision,probability_decision_reason,recommended_bucket,recommended_hit,point_hit,nearest_celsius_point_hit,new_celsius_hit
2026-01-01,48.2,9.000000000000002,actual_high_f_converted_to_c,48.12869395160675,8.960385528670416,0,3,9,9,9,0.6166671116226857,0.6166671116226857,0.6166671116226857,0.4311027602699048,0.0,False,"{""+1"": 0.18556435135278088, ""+2"": 0.03067126669728963, ""-1"": 0.14362849143927728, ""-2"": 0.01601392151392766, ""0"": 0.6166671116226857, ""<=-3"": 0.0021653402319874453, "">=+3"": 0.005289517142051435}","{""10"": 0.18556435135278088, ""11"": 0.03067126669728963, ""12"": 0.005289517142051435, ""5"": 0.0006014833977742904, ""6"": 0.001563856834213155, ""7"": 0.01601392151392766, ""8"": 0.14362849143927728, ""9"": 0.6166671116226857}",shadow_trade,confidence_passed,9,0.5076543501580159,True,0.3405035128665927,"{""8"": 0.2736189280794138, ""9"": 0.5076543501580159, ""10"": 0.11203469144204169, ""11"": 0.10328892952991149, ""12"": 0.003403100790617184}",shadow_trade,confidence_passed,48-49,True,True,True,True
2026-01-02,48.2,9.000000000000002,actual_high_f_converted_to_c,46.11727768305791,7.842932046143281,1,4,8,9,8,0.6570290477928401,0.1392661468542063,0.6570290477928401,0.4976983038321591,0.0,False,"{""+1"": 0.13926614685420638, ""+2"": 0.020914143453639802, ""-1"": 0.15933074396068103, ""-2"": 0.015266563483183776, ""0"": 0.6570290477928401, ""<=-3"": 0.002360889071359562, "">=+3"": 0.005832465384089439}","{""10"": 0.020914143453639802, ""11"": 0.005832465384089439, ""4"": 0.0006558025198221005, ""5"": 0.0017050865515374613, ""6"": 0.015266563483183775, ""7"": 0.15933074396068103, ""8"": 0.6570290477928401, ""9"": 0.13926614685420638}",shadow_trade,confidence_passed,8,0.17139666626119932,False,1.0462856846771507,"{""7"": 0.2454763349612168, ""8"": 0.5461912526851691, ""9"": 0.17139666626119932, ""10"": 0.03324217148317331, ""11"": 0.0036935746092414787}",shadow_trade,confidence_passed,46-47,False,False,False,False
2026-01-03,48.2,9.000000000000002,actual_high_f_converted_to_c,49.42991614510703,9.683286747281684,-1,2,10,9,10,0.5046437129674417,0.1149580965116738,0.5046437129674417,0.2052779168440034,0.0,False,"{""+1"": 0.2993657961234383, ""+2"": 0.06917934346070621, ""-1"": 0.11495809651167388, ""-2"": 0.005924339616201538, ""0"": 0.5046437129674417, ""<=-3"": 0.001827394979505681, "">=+3"": 0.004101316341032665}","{""10"": 0.5046437129674417, ""11"": 0.2993657961234383, ""12"": 0.06917934346070621, ""13"": 0.004101316341032665, ""6"": 0.0005076097165293558, ""7"": 0.0013197852629763251, ""8"": 0.0059243396162015375, ""9"": 0.11495809651167387}",shadow_trade,confidence_passed,9,0.2969769878552234,True,0.6509693778106947,"{""8"": 0.06378314760262972, ""9"": 0.2969769878552234, ""10"": 0.2625917932420595, ""11"": 0.2703945462149817, ""12"": 0.102861890923252, ""13"": 0.003391634161853626}",shadow_trade,confidence_passed,50-51,False,False,False,False
2026-01-04,51.8,10.999999999999998,actual_high_f_converted_to_c,51.51650317783046,10.842501765461366,0,3,11,11,11,0.5252086533110873,0.5252086533110873,0.5252086533110873,0.2775086526338813,0.0,False,"{""+1"": 0.247700000677206, ""+2"": 0.02579864424684259, ""-1"": 0.19384642478607783, ""-2"": 0.0030440523530342882, ""0"": 0.5252086533110873, ""<=-3"": 0.0013719208724602971, "">=+3"": 0.0030303037532916446}","{""10"": 0.19384642478607783, ""11"": 0.5252086533110873, ""12"": 0.247700000677206, ""13"": 0.02579864424684259, ""14"": 0.0030303037532916446, ""7"": 0.00038108913123897144, ""8"": 0.0009908317412213256, ""9"": 0.0030440523530342882}",shadow_trade,confidence_passed,11,0.5252179114744815,True,0.32153938097879825,"{""10"": 0.1120510399723155, ""11"": 0.5252179114744815, ""12"": 0.2770405297488814, ""13"": 0.08248757394892886, ""14"": 0.0032029448553928656}",no_trade,top_two_margin_below_threshold,52-53,True,True,True,True
2026-01-05,57.2,14.000000000000002,actual_high_f_converted_to_c,55.60598577278552,13.1144365404364,1,4,13,14,13,0.4460718175075152,0.2588202458641832,0.4460718175075152,0.187251571643332,0.0,False,"{""+1"": 0.2588202458641831, ""+2"": 0.09898318292555094, ""-1"": 0.1606081202425754, ""-2"": 0.022812942114084907, ""0"": 0.4460718175075152, ""<=-3"": 0.00878965468503956, "">=+3"": 0.003914036661050748}","{""10"": 0.00634808393919524, ""11"": 0.02281294211408491, ""12"": 0.16060812024257543, ""13"": 0.44607181750751523, ""14"": 0.2588202458641832, ""15"": 0.09898318292555096, ""16"": 0.003914036661050749, ""9"": 0.002441570745844323}",shadow_trade,confidence_passed,13,0.230309289641895,False,0.797243745886074,"{""9"": 0.00410819236393418, ""10"": 0.007189336636884816, ""11"": 0.024649154183605082, ""12"": 0.19745605705771407, ""13"": 0.3900972045931824, ""14"": 0.230309289641895, ""15"": 0.10695699970817835, ""16"": 0.03923376581460607}",no_trade,top_probability_below_threshold,56-57,True,True,False,False
2026-01-06,51.8,10.999999999999998,actual_high_f_converted_to_c,51.09084448775423,10.606024715419014,0,3,11,11,11,0.6887735995877633,0.6887735995877633,0.6887735995877633,0.5269698804658832,0.0,False,"{""+1"": 0.16180371912188002, ""+2"": 0.02223186646521798, ""-1"": 0.11995740018607902, ""-2"": 0.0038348012642649442, ""0"": 0.6887735995877632, ""<=-3"": 0.0006548154119733195, "">=+3"": 0.0027437979628214025}","{""10"": 0.11995740018607903, ""11"": 0.6887735995877633, ""12"": 0.16180371912188005, ""13"": 0.022231866465217985, ""14"": 0.002743797962821403, ""7"": 0.00018189316999258877, ""8"": 0.0004729222419807308, ""9"": 0.0038348012642649447}",shadow_trade,confidence_passed,11,0.5694081313580082,True,0.2683698403543295,"{""10"": 0.18250910428451778, ""11"": 0.5694081313580082, ""12"": 0.2211968783726404, ""13"": 0.026885885984833616}",shadow_trade,confidence_passed,50-51,False,False,True,True
2026-01-07,44.6,7.000000000000001,actual_high_f_converted_to_c,45.06390639991718,7.257725777731768,0,3,7,7,7,0.5882847094455057,0.5882847094455057,0.5882847094455057,0.4176378195097773,0.0,False,"{""+1"": 0.16198155880505066, ""+2"": 0.03962410469832575, ""-1"": 0.1706468899357284, ""-2"": 0.02906346118817903, ""0"": 0.5882847094455057, ""<=-3"": 0.0034667396360800176, "">=+3"": 0.006932536291130359}","{""10"": 0.006932536291130358, ""3"": 0.0009629832322444493, ""4"": 0.002503756403835568, ""5"": 0.029063461188179027, ""6"": 0.1706468899357284, ""7"": 0.5882847094455057, ""8"": 0.16198155880505066, ""9"": 0.03962410469832575}",shadow_trade,confidence_passed,7,0.4708982474046432,True,0.3978959855506497,"{""6"": 0.09360189064107742, ""7"": 0.4708982474046432, ""8"": 0.3053067638221268, ""9"": 0.12632834466045403, ""10"": 0.0038647534716985846}",shadow_trade,confidence_passed,44-45,True,True,True,True
2026-01-08,53.6,12.0,actual_high_f_converted_to_c,53.128775763739526,11.73820875763307,0,3,12,12,12,0.4906668920510099,0.4906668920510099,0.4906668920510099,0.184417550778181,0.0,False,"{""+1"": 0.3062493412728288, ""+2"": 0.054823235379332584, ""-1"": 0.1306688224062533, ""-2"": 0.012587041594107066, ""0"": 0.4906668920510098, ""<=-3"": 0.0015860959145568298, "">=+3"": 0.0034185713819115133}","{""10"": 0.01258704159410707, ""11"": 0.13066882240625333, ""12"": 0.4906668920510099, ""13"": 0.3062493412728289, ""14"": 0.0548232353793326, ""15"": 0.003418571381911514, ""8"": 0.00044058219848800844, ""9"": 0.0011455137160688218}",shadow_trade,confidence_passed,12,0.39023245567538567,True,0.5128779229924526,"{""10"": 0.056893738049250804, ""11"": 0.22902972417774978, ""12"": 0.39023245567538567, ""13"": 0.2902428463373612, ""14"": 0.03360123576025253}",shadow_trade,confidence_passed,52-53,False,False,True,True
2026-01-09,48.2,9.000000000000002,actual_high_f_converted_to_c,49.7085250728968,9.838069484942666,-1,2,10,9,10,0.5876018888487623,0.1898596738585486,0.5876018888487623,0.3968674894768943,0.0,False,"{""+1"": 0.19073439937186798, ""+2"": 0.02289725241694842, ""-1"": 0.1898596738585486, ""-2"": 0.0046597116105752115, ""0"": 0.5876018888487622, ""<=-3"": 0.0011663799761212341, "">=+3"": 0.0030806939171762917}","{""10"": 0.5876018888487623, ""11"": 0.190734399371868, ""12"": 0.022897252416948424, ""13"": 0.003080693917176292, ""6"": 0.000323994437811454, ""7"": 0.0008423855383097804, ""8"": 0.004659711610575212, ""9"": 0.18985967385854863}",shadow_trade,confidence_passed,9,0.321295879843972,True,0.6428036501220326,"{""9"": 0.321295879843972, ""10"": 0.2883260108220389, ""11"": 0.30324399060987367, ""12"": 0.08406016818812007, ""13"": 0.003073950535995306}",shadow_trade,confidence_passed,50-51,False,False,False,False
2026-01-10,60.8,16.0,actual_high_f_converted_to_c,59.63354889133858,15.35197160629921,1,4,15,16,15,0.4404106840152995,0.3376309203328638,0.4404106840152995,0.1027797636824356,0.0,False,"{""+1"": 0.33763092033286385, ""+2"": 0.07119390848775227, ""-1"": 0.1400675324453601, ""-2"": 0.0064312090481196665, ""0"": 0.4404106840152996, ""<=-3"": 0.002363542900701731, "">=+3"": 0.001902202769902925}","{""11"": 0.0006565396946393696, ""12"": 0.0017070032060623607, ""13"": 0.006431209048119665, ""14"": 0.14006753244536008, ""15"": 0.4404106840152995, ""16"": 0.3376309203328638, ""17"": 0.07119390848775226, ""18"": 0.0019022027699029246}",no_trade,top_two_margin_below_threshold,16,0.3353441452040504,True,0.5775266793931639,"{""12"": 0.004346208307048836, ""13"": 0.014901285624167437, ""14"": 0.14672852752219356, ""15"": 0.18870654420992036, ""16"": 0.3353441452040504, ""17"": 0.278147506114123, ""18"": 0.03182578301849636}",no_trade,top_probability_below_threshold,60-61,True,True,False,False
